Type, X(um), Y(um), marker, name
Type 1,-2194.021828,-43816.020450, MarkE,R0_T1_0
,-2202.614025,43901.516912, MarkE,R0_T1_1
Type 2,50159.000000,0.000000, MarkKh,R0_T2h_0
,49900.263772,-15901.560313, MarkKh,R0_T2h_1
,49900.263772,15901.560313, MarkKh,R0_T2h_2
,-54464.000000,0.000000, MarkKh,R0_T2h_3
,-54862.026238,17482.709573, MarkKh,R0_T2h_4
,-54862.026238,-17482.709573, MarkKh,R0_T2h_5
Type 2,41178.753964,-47256.282237, MarkKv,R0_T2v_0
,40997.939148,49073.101445, MarkKv,R0_T2v_1
,-34849.833579,39993.283260, MarkKv,R0_T2v_2
,-34467.299433,-41256.153767, MarkKv,R0_T2v_3
Type 3,50077.818290,8907.988842, MarkI,R0_T3_0
,50156.006268,1710.702007, MarkI,R0_T3_1
,50128.200802,-5486.955806, MarkI,R0_T3_2
,-54527.804576,7001.213066, MarkI,R0_T3_3
,-54466.352916,1344.522255, MarkI,R0_T3_4
,-54488.206558,-4312.460126, MarkI,R0_T3_5
Type 4,47782.555015,-47757.514900, MarkF,R0_T4_0
,47573.821657,49837.646743, MarkF,R0_T4_1
,-56461.347050,-39489.049111, MarkF,R0_T4_2
,-56252.081721,37408.536543, MarkF,R0_T4_3
HPK1,47448.841298,-47753.583307, MarkM,R0_H1_0
,47241.339472,49820.472859, MarkM,R0_H1_1
,-56132.104344,-39537.702201, MarkM,R0_H1_2
,-55924.051055,37470.433361, MarkM,R0_H1_3
HPK2,47618.335734,-47767.059947, MarkE,R0_H2_0
,47410.155250,49840.714709, MarkE,R0_H2_1
,-56301.623669,-39524.288791, MarkE,R0_H2_2
,-56092.888237,37450.254413, MarkE,R0_H2_3
HPK3,46775.832681,-47700.233902, MarkG,R0_H3_0
,46571.024881,49740.261513, MarkG,R0_H3_1
,-55459.029940,-39591.122028, MarkG,R0_H3_2
,-55253.684212,37550.716426, MarkG,R0_H3_3
HPK4,-37225.347924,-41037.389608, MarkE,R0_H4_0
,-37093.310077,39724.714283, MarkE,R0_H4_1
,-13313.599947,-42934.032637, MarkE,R0_H4_2
,-13277.580861,42575.720759, MarkE,R0_H4_3
,15581.894094,-45225.978728, MarkE,R0_H4_4
,15502.032186,46020.959090, MarkE,R0_H4_5
HPK5,-36432.632624,-41100.266565, MarkH,R0_H5_0
,-36303.780000,39819.229775, MarkH,R0_H5_1
,-38018.064032,-40974.512587, MarkH,R0_H5_2
,-37882.840810,39630.198713, MarkH,R0_H5_3
,16374.564736,-45288.852143, MarkH,R0_H5_4
,16291.525987,46115.470239, MarkH,R0_H5_5
,14789.222895,-45163.105270, MarkH,R0_H5_6
,14712.537932,45926.447887, MarkH,R0_H5_7
Type 1,-2670.072285,-53365.909217, MarkE,R1_T1_0
,-2680.559520,53470.346205, MarkE,R1_T1_1
Type 2,39905.000000,0.000000, MarkKh,R1_T2h_0
,39717.659256,-14670.920350, MarkKh,R1_T2h_1
,39717.659256,14670.920350, MarkKh,R1_T2h_2
,-45166.000000,0.000000, MarkKh,R1_T2h_3
,-45454.045827,16789.828465, MarkKh,R1_T2h_4
,-45454.045827,-16789.828465, MarkKh,R1_T2h_5
Type 2,30480.552576,-55998.606755, MarkKv,R1_T2v_0
,30338.298937,57426.355707, MarkKv,R1_T2v_1
,-27486.690118,50498.308619, MarkKv,R1_T2v_2
,-27165.451587,-51420.578623, MarkKv,R1_T2v_3
Type 3,39809.572339,10471.183027, MarkI,R1_T3_0
,39901.480922,2010.899894, MarkI,R1_T3_1
,39868.796089,-6449.819317, MarkI,R1_T3_2
,-45247.297975,8920.746487, MarkI,R1_T3_3
,-45168.998019,1713.152002, MarkI,R1_T3_4
,-45196.843307,-5494.813992, MarkI,R1_T3_5
Type 4,37082.462534,-56500.334691, MarkF,R1_T4_0
,36912.817818,58191.391897, MarkF,R1_T4_1
,-47665.204777,-49769.994736, MarkF,R1_T4_2
,-47495.287594,48078.405480, MarkF,R1_T4_3
HPK1,36748.733954,-56496.369465, MarkM,R1_H1_0
,36580.350380,58174.186952, MarkM,R1_H1_1
,-47335.948862,-49818.681238, MarkM,R1_H1_2
,-47167.284824,48140.331872, MarkM,R1_H1_3
HPK2,36918.228765,-56509.862706, MarkE,R1_H2_0
,36749.166514,58194.445648, MarkE,R1_H2_1
,-47505.462017,-49805.251745, MarkE,R1_H2_2
,-47336.117415,48120.136669, MarkE,R1_H2_3
HPK3,36075.723771,-56442.954138, MarkG,R1_H3_0
,35910.034500,58093.908731, MarkG,R1_H3_1
,-46662.898651,-49872.164948, MarkG,R1_H3_2
,-46496.936257,48220.679474, MarkG,R1_H3_3
HPK4,-29315.226793,-51249.851588, MarkE,R1_H4_0
,-29218.876660,50290.774297, MarkE,R1_H4_1
,-2301.154342,-53395.207288, MarkE,R1_H4_2
,-2313.120153,53514.369339, MarkE,R1_H4_3
,21720.163304,-55302.889695, MarkE,R1_H4_4
,21611.957965,56380.847491, MarkE,R1_H4_5
HPK5,-28522.533526,-51312.804296, MarkH,R1_H5_0
,-28429.363214,50385.366383, MarkH,R1_H5_1
,-30107.920651,-51186.898833, MarkH,R1_H5_2
,-30008.390605,50196.182151, MarkH,R1_H5_3
,22512.823654,-55365.839789, MarkH,R1_H5_4
,22401.443698,56475.436256, MarkH,R1_H5_5
,20927.502511,-55239.939566, MarkH,R1_H5_6
,20822.471859,56286.258680, MarkH,R1_H5_7
Type 1,-3042.087361,-60815.065571, MarkE,R2_T1_0
,-3054.060881,60934.330669, MarkE,R2_T1_1
Type 2,28154.000000,0.000000, MarkKh,R2_T2h_0
,28003.481762,-13853.009038, MarkKh,R2_T2h_1
,28003.481762,13853.009038, MarkKh,R2_T2h_2
,-34161.000000,0.000000, MarkKh,R2_T2h_3
,-34412.953911,17023.703181, MarkKh,R2_T2h_4
,-34412.953911,-17023.703181, MarkKh,R2_T2h_5
Type 2,18394.287198,-62519.137692, MarkKv,R2_T2v_0
,18297.058636,63493.961772, MarkKv,R2_T2v_1
,-17421.252018,59211.952165, MarkKv,R2_T2v_2
,-17200.735902,-59689.532045, MarkKv,R2_T2v_3
Type 3,28048.105997,11619.644412, MarkI,R2_T3_0
,28150.094955,2231.451944, MarkI,R2_T3_1
,28113.825306,-7157.224431, MarkI,R2_T3_2
,-34256.543926,10483.940671, MarkI,R2_T3_3
,-34164.523366,2013.349889, MarkI,R2_T3_4
,-34197.248021,-6457.677502, MarkI,R2_T3_5
Type 4,24993.921196,-63021.200775, MarkF,R2_T4_0
,24869.713296,64259.248635, MarkF,R2_T4_1
,-37063.675103,-58087.968271, MarkF,R2_T4_2
,-36939.325259,56849.410599, MarkF,R2_T4_3
HPK1,24660.180512,-63017.208632, MarkM,R2_H1_0
,24537.256391,64242.021159, MarkM,R2_H1_1
,-36734.411193,-58136.681292, MarkM,R2_H1_2
,-36611.342325,56911.358472, MarkM,R2_H1_3
HPK2,24829.675675,-63030.715154, MarkE,R2_H2_0
,24706.072840,64262.292073, MarkE,R2_H2_1
,-36903.920316,-58123.238866, MarkE,R2_H2_2
,-36780.171670,56891.151477, MarkE,R2_H2_3
HPK3,23987.168858,-62963.740565, MarkG,R2_H3_0
,23866.939346,64161.694435, MarkG,R2_H3_1
,-36061.376821,-58190.216370, MarkG,R2_H3_2
,-35941.006690,56991.752890, MarkG,R2_H3_3
HPK4,-6036.284050,-60577.043648, MarkE,R2_H4_0
,-6036.261222,60576.816266, MarkE,R2_H4_1
HPK5,-5243.613980,-60640.056494, MarkH,R2_H5_0
,-5246.767095,60671.463000, MarkH,R2_H5_1
,-6828.954567,-60514.030766, MarkH,R2_H5_2
,-6825.755731,60482.169486, MarkH,R2_H5_3
Type 1,-865.250166,-34741.712100, MarkE,R3_T1_0
,-866.952224,34775.844794, MarkE,R3_T1_1
Type 2,57965.000000,0.000000, MarkKh,R3_T2h_0
,57820.045130,-14802.526895, MarkKh,R3_T2h_1
,57820.045130,14802.526895, MarkKh,R3_T2h_2
,-59652.000000,0.000000, MarkKh,R3_T2h_3
,-59835.854163,15318.594763, MarkKh,R3_T2h_4
,-59835.854163,-15318.594763, MarkKh,R3_T2h_5
Type 2,50427.882670,-36239.626944, MarkKv,R3_T2v_0
,50325.269260,38323.475628, MarkKv,R3_T2v_1
,-44211.233482,31772.077733, MarkKv,R3_T2v_2
,-43968.841113,-33482.956685, MarkKv,R3_T2v_3
Type 3,57573.120459,-24336.620773, MarkI,R3_T3_0
,57132.830887,-35459.001888, MarkI,R3_T3_1
,57384.256219,29624.370183, MarkI,R3_T3_2
,-59982.901688,-20549.755830, MarkI,R3_T3_3
,-60354.680632,-29941.454797, MarkI,R3_T3_4
,-60142.377978,25014.712583, MarkI,R3_T3_5
Type 4,57050.001201,-36410.503271, MarkF,R3_T4_0
,56933.083277,38758.844451, MarkF,R3_T4_1
,-60467.017730,-32978.650363, MarkF,R3_T4_2
,-60349.899442,30631.111103, MarkF,R3_T4_3
HPK1,56716.499859,-36423.241100, MarkM,R3_H1_0
,56600.173275,38758.295110, MarkM,R3_H1_1
,-60135.736602,-33010.801854, MarkM,R3_H1_2
,-60019.199678,30676.550046, MarkM,R3_H1_3
HPK2,56886.456630,-36428.236866, MarkE,R3_H2_0
,56769.791921,38770.082292, MarkE,R3_H2_1
,-60305.708944,-33005.870660, MarkE,R3_H2_2
,-60188.832388,30664.827044, MarkE,R3_H2_3
HPK3,56041.663579,-36403.566350, MarkG,R3_H3_0
